List,Title,Description,Labels
Done,"Renderer request UI state + schema/docs alignment (e1fbf2a)","Commit: e1fbf2add4f38f7f19ee38835fcf3847d10035b9 | Date: 2026-05-20 | Scope: 15 files (+1556/-59). Added request UI state handling for list/grid flows, improved request errors/user messages, updated component schemas and builder specs, and added tests.","engine,renderer,docs,test"
Done,"Phase 1 renderer hardening - scaffold/video/unsupported (7e92ccb)","Commit: 7e92ccbb3a3e9babeba8626a4abc11e08a07dab4 | Date: 2026-05-20 | Scope: 5 files (+221/-182). Refactored scaffold and video player renderers, improved unsupported component diagnostics, and progressed renderer audit phase 1.","engine,renderer,stability"
Done,"Engine theme bootstrap from JSON (8b5e0e1)","Commit: 8b5e0e1a177daa62432dcd51b483da197b715236 | Date: 2026-05-20 | Scope: 15 files (+805/-150). Implemented theme parsing into config, applied EngineTheme in main startup, updated button/text renderers, and added theme tests.","theme,engine,config,test"
Done,"Phase 5 high-traffic renderers + parser upgrades (1256207)","Commit: 1256207947732d35bd45e32f16cf6597c5e46609 | Date: 2026-05-21 | Scope: 15 files (+673/-93). Deepened EngineTheme usage in app bar/button/text/card/image and improved property parser handling with tests.","engine,renderer,parser,test"
Done,"Phase 6 forms autovalidate + themed fields (eda7e65)","Commit: eda7e654861a968e34460d00c29aa3a9d5baee7c | Date: 2026-05-21 | Scope: 10 files (+640/-74). Enhanced form and text field renderers, added auto-validation support, and updated production phone validation config.","forms,renderer,config,test"
Done,"Phase 7 pageScroll + list/grid Arabic request messages (4340f28)","Commit: 4340f28b62fc9f8b04dc9e809afabc9da4a1a99b | Date: 2026-05-21 | Scope: 21 files (+832/-54). Added pageScroll support, updated production JSON request messages, adjusted layout renderers, and expanded tests.","engine,renderer,config,test"
Done,"Phase 11 accessibility semantics pass (90b1980)","Commit: 90b1980246521ec86e2350137fc196c00caa685d | Date: 2026-05-21 | Scope: 21 files (+854/-68). Added semantics labels and accessibility props, improved icon parsing, updated schemas, and added accessibility tests.","accessibility,renderer,parser,test"
Done,"Phase 12 expand layout + text field border/padding (21ea6c6)","Commit: 21ea6c67481016725c6bf18a5f8024fbf419feb6 | Date: 2026-05-21 | Scope: 8 files (+292/-43). Added expand property for container/column and border/padding for text fields with schema and test updates.","layout,renderer,schema,test"
Done,"AI onboarding/rules framework refinement (7458f96)","Commit: 7458f961a3d13dea27a1d91677b1a92133ebb90d | Date: 2026-05-21 | Scope: 11 files (+720/-83). Updated AGENTS and rules files, clarified precedence, JSON-first boundaries, and API path conventions.","docs,standards,process"
Done,"New primitives + AppMessenger centralization + splash routing update (c3cc644)","Commit: c3cc644ed2132194328a59bab646fb65f9f7fc3c | Date: 2026-05-21 | Scope: 41 files (+2364/-274). Added new primitive renderers/types, enhanced AppMessenger and tests, updated action/renderer flows, and changed splash JSON routing/design.","engine,core,config,docs,test"
Done,"Navigation type refinement + dev auth mock integration (df53835)","Commit: df53835c82d3fa3a0c039def0f5d72c5bc67dd4a | Date: 2026-05-22 | Scope: 12 files (+831/-5). Refined navigation types, adjusted production JSON border radius, added mock auth module and wiring in service locator/main, plus scripts and tests.","navigation,dev,auth,config,test"